customerKey,dateKey,salesPersonKey,Quantity,Price,Margin,Cost,OverHead,returns,Sales,Expenses,net profit,net margin,City,State,Country,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Age,Purchased Bike,Product,Product Sub Category,Product Category,Color,Size,Weight,Class,Style,Promotion,Promotion Category,Promotion Type,Manufacturer,Manufacturer Grouping,Market
335791,2010-08-23,287,1,1872.54,0.18,1535.4828,67.41144,0.0,1872.54,1535.4828,269.64576,14.4,Canonsburg,Pennsylvania,United States,Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,29,No,Mountain-200,Mountain Bikes,Bikes,Silver,46,24.13,H ,U ,Volume Discount 11 to 14,Reseller,Volume Discount,Princess,New Comers,Growing
101508,2008-01-02,288,4,301.7093177,1.0,216.1044801,19.85985232,0.0,1206.837271,864.4179204,322.5594981,26.7,Philadelphia,Pennsylvania,United States,Single,Female,50000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,37,Yes,HL Road Frame,Road Frames,Components,Red,44,2.12,H ,U ,Sport Helmet Discount-2002,Reseller,Seasonal Discount,Woolson,New Comers,Stable
255289,2008-03-02,290,1,1692.0,0.32,1150.56,108.288,0.0,1692.0,1150.56,433.152,25.6,Commerce City,Colorado,United States,Single,Male,20000,3,Partial High School,Clerical,No,2,0-1 Miles,50,No,Road-750,Road Bikes,Bikes,Black,58,20.79,L ,U ,LL Road Frame Sale,Reseller,Excess Inventory,Princess,New Comers,Growing
400077,2010-11-06,291,1,211.191,0.49,107.70741,20.696718,0.0,211.191,107.70741,82.786872,39.2,Coffs Harbour,New South Wales,Australia,Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,29,No,HL Road Frame,Road Frames,Components,Black,62,2.3,H ,U ,Touring-3000 Promotion,Reseller,New Product,Old Balance,Incumbents,Shrinking
2060,2009-06-14,288,1,59.16,0.27,43.1868,3.19464,0.0,59.16,43.1868,12.77856,21.6,New Iberia,Louisiana,United States,Single,Female,20000,3,High School,Manual,Yes,1,0-1 Miles,42,Yes,Sport-100,Helmets,Accessories,Blue,0,0.0,N,U,Touring-1000 Promotion,Reseller,New Product,Over Armour,New Comers,Shrinking
400346,2010-06-08,282,1,1513.7616,0.21,1195.871664,63.5779872,0.0,1513.7616,1195.871664,254.3119488,16.8,Darmstadt,Hessen,Germany,Married,Male,60000,5,Bachelors,Professional,Yes,1,2-5 Miles,47,No,Road-250,Road Bikes,Bikes,Black,48,15.13,H ,U ,Mountain Tire Sale,Customer,Excess Inventory,Adihash,Incumbents,Stable
315489,2009-04-26,292,1,61.8,0.45,33.99,20.562,1.0,61.8,33.99,7.248,11.7,Spokane,Washington,United States,Married,Male,20000,2,Partial High School,Clerical,Yes,3,5-10 Miles,54,No,Half-Finger Gloves,Gloves,Clothing,Black,S,0.0,N,U ,Mountain-100 Clearance Sale,Reseller,Discontinued Product,Adihash,Incumbents,Stable
71619,2010-01-05,290,1,1948.5128,0.27,1422.414344,157.8295368,0.0,1948.5128,1422.414344,368.2689192,18.9,Conshohocken,Pennsylvania,United States,Single,Female,80000,3,Bachelors,Skilled Manual,Yes,1,0-1 Miles,41,Yes,Touring-2000,Touring Bikes,Bikes,Blue,46,27.13,M ,U ,Sport Helmet Discount-2003,Reseller,Seasonal Discount,Over Armour,New Comers,Shrinking
141831,2010-06-01,292,1,1891.08,0.24,1437.2208,45.38592,0.0,1891.08,1437.2208,408.47328,21.6,Ventura,California,United States,Single,Female,70000,0,Partial College,Skilled Manual,No,2,0-1 Miles,27,Yes,Mountain-500,Mountain Bikes,Bikes,Black,52,28.68,L ,U ,Mountain Tire Sale,Customer,Excess Inventory,Ribuck,New Comers,Stable
284408,2010-02-26,292,1,321.8844144,1.0,207.9207897,25.64954969,0.0,321.8844144,207.9207897,88.31407503,27.4,Woodland,California,United States,Single,Male,50000,2,Bachelors,Skilled Manual,No,1,0-1 Miles,38,Yes,HL Road Frame,Road Frames,Components,Red,56,2.24,H ,U ,Volume Discount 15 to 24,Reseller,Volume Discount,Esics,Incumbents,Stable
400491,2009-09-18,284,1,2346.34,0.28,1689.3648,140.69752,1.0,2346.34,1689.3648,516.27768,22.0,London,England,United Kingdom,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,25,No,Touring-3000,Touring Bikes,Bikes,Yellow,54,29.42,L ,U ,Volume Discount over 60,Reseller,Volume Discount,Nuke,Incumbents,Growing
203408,2009-12-25,287,1,63.86,0.35,41.509,2.2351,0.0,63.86,41.509,20.1159,31.5,Portland,Maine,United States,Single,Male,60000,2,Bachelors,Professional,No,1,0-1 Miles,37,Yes,Short-Sleeve Classic Jersey,Jerseys,Clothing,Yellow,L,0.0,N,U ,Volume Discount over 60,Reseller,Volume Discount,Esics,Incumbents,Stable
400005,2010-11-06,288,1,80.3556,0.23,61.873812,3.6963576,0.0,80.3556,61.873812,14.7854304,18.4,Orleans,Loiret,France,Married,Male,10000,1,High School,Manual,Yes,0,2-5 Miles,27,Yes,LL Mountain Frame,Mountain Frames,Components,Black,48,3.0,L ,U ,Touring-1000 Promotion,Reseller,New Product,Ribuck,New Comers,Stable
43162,2009-09-13,286,1,80.58,0.36,51.5712,8.70264,0.0,80.58,51.5712,20.30616,25.2,Folsom,California,United States,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,35,No,Mountain Bike Socks,Socks,Clothing,White,L,0.0,N,U ,Mountain-100 Clearance Sale,Reseller,Discontinued Product,Woolson,New Comers,Stable
148081,2010-01-11,282,1,1821.04,0.16,1529.6736,29.13664,0.0,1821.04,1529.6736,262.22976,14.4,Gold Beach,Oregon,United States,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,44,No,Mountain-300,Mountain Bikes,Bikes,Black,38,25.35,M ,U ,No Discount,No Discount,No Discount,Ribuck,New Comers,Stable
126796,2010-09-13,292,3,26.0,1.0,20.8,1.56,0.0,78.0,62.4,14.04,18.0,Huntington Beach,California,United States,Married,Male,60000,3,Graduate Degree,Management,Yes,2,10+ Miles,64,No,Nipple,Other,Accessories,Unknown,0,0.0,L,U,No Discount,No Discount,No Discount,Over Armour,New Comers,Shrinking
241003,2008-01-15,284,1,1672.0,0.21,1320.88,70.224,0.0,1672.0,1320.88,280.896,16.8,West Orange,New Jersey,United States,Married,Male,70000,2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,48,No,Road-250,Road Bikes,Bikes,Red,48,15.13,H ,U ,Sport Helmet Discount-2002,Reseller,Seasonal Discount,Old Balance,Incumbents,Shrinking
318902,2009-01-14,284,1,162.24,0.28,116.8128,13.62816,0.0,162.24,116.8128,31.79904,19.6,Salem,Oregon,United States,Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,56,Yes,ML Road Frame,Road Frames,Components,Red,48,2.26,M ,U ,Volume Discount 41 to 60,Reseller,Volume Discount,Adihash,Incumbents,Stable
147398,2008-06-29,288,1,1700.0,0.35,1105.0,178.5,0.0,1700.0,1105.0,416.5,24.5,Kansas City,Missouri,United States,Married,Male,60000,2,High School,Professional,No,2,1-2 Miles,49,Yes,Mountain-100,Mountain Bikes,Bikes,Silver,44,21.13,H ,U ,Volume Discount 41 to 60,Reseller,Volume Discount,Ribuck,New Comers,Stable
241305,2010-07-28,284,1,219.5336,0.46,118.548144,20.1970912,0.0,219.5336,118.548144,80.7883648,36.8,Long Beach,California,United States,Married,Male,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,28,Yes,LL Road Frame,Road Frames,Components,Black,60,2.48,L ,U ,Volume Discount 41 to 60,Reseller,Volume Discount,Esics,Incumbents,Stable
159932,2010-03-06,281,1,60.3432,0.45,33.18876,2.715444,0.0,60.3432,33.18876,24.438996,40.5,Yakima,Washington,United States,Married,Male,60000,3,Graduate Degree,Management,Yes,2,1-2 Miles,63,No,Touring Tire,Tires and Tubes,Accessories,Unknown,0,0.0,N,U,Volume Discount 41 to 60,Reseller,Volume Discount,Slicenger,New Comers,Stable
269018,2009-11-24,286,1,93.93,0.64,33.8148,18.03456,0.0,93.93,33.8148,42.08064,44.8,San Ramon,California,United States,Married,Male,80000,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,48,Yes,Men's Sports Shorts,Shorts,Clothing,Black,L,0.0,N,M ,Touring-1000 Promotion,Reseller,New Product,Esics,Incumbents,Stable
400132,2010-06-28,296,1,1648.32,0.26,1219.7568,42.85632,0.0,1648.32,1219.7568,385.70688,23.4,Goulburn,New South Wales,Australia,Married,Female,130000,4,Partial College,Professional,Yes,4,5-10 Miles,61,Yes,Mountain-400-W,Mountain Bikes,Bikes,Silver,46,27.42,M ,W ,Volume Discount 11 to 14,Reseller,Volume Discount,Slicenger,New Comers,Stable
188521,2009-12-22,284,1,44.72,0.39,27.2792,5.23224,0.0,44.72,27.2792,12.20856,27.3,Ocala,Florida,United States,Married,Male,100000,5,Graduate Degree,Management,No,1,1-2 Miles,78,Yes,ML Mountain Tire,Tires and Tubes,Accessories,Unknown,0,0.0,M ,U,Volume Discount 25 to 40,Reseller,Volume Discount,Old Balance,Incumbents,Shrinking
349180,2010-05-19,284,1,200.889,0.21,158.70231,12.656007,0.0,200.889,158.70231,29.530683,14.7,Midland,Michigan,United States,Single,Female,20000,3,High School,Skilled Manual,Yes,2,2-5 Miles,78,No,LL Mountain Rear Wheel,Wheels,Components,Black,0,0.0,L ,U,Volume Discount 41 to 60,Reseller,Volume Discount,Poomah,New Comers,Growing
400804,2009-06-14,283,1,1464.66,0.2,1171.728,87.8796,0.0,1464.66,1171.728,205.0524,14.0,Sunbury,Victoria,Australia,Single,Male,100000,1,Partial College,Professional,No,3,1-2 Miles,44,No,Road-450,Road Bikes,Bikes,Red,48,17.13,M ,U ,Volume Discount over 60,Reseller,Volume Discount,Acme,New Comers,Stable
49395,2008-04-26,284,1,1398.0,0.19,1132.38,53.124,0.0,1398.0,1132.38,212.496,15.2,Hauppauge,New York,United States,Married,Female,20000,2,Partial College,Manual,Yes,1,2-5 Miles,47,Yes,Road-650,Road Bikes,Bikes,Black,60,19.9,L ,U ,Mountain-500 Silver Clearance Sale,Reseller,Discontinued Product,Woolson,New Comers,Stable
203245,2008-06-22,291,4,2756.0,0.23,2122.12,126.776,0.0,11024.0,8488.48,2408.744,21.9,Saint Cloud,Minnesota,United States,Single,Male,60000,0,Partial College,Professional,No,2,1-2 Miles,30,No,Touring-3000,Touring Bikes,Bikes,Blue,54,29.68,L ,U ,No Discount,No Discount,No Discount,Slicenger,New Comers,Stable
297088,2010-08-18,294,1,198.172,-0.008,199.757376,-0.3170752,0.0,198.172,199.757376,-1.2683008,-0.6,Eaton,Ohio,United States,Single,Male,60000,2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,52,Yes,LL Touring Frame,Touring Frames,Components,Yellow,62,3.2,L ,U ,Volume Discount over 60,Reseller,Volume Discount,Woolson,New Comers,Stable
194753,2009-06-24,296,1,1393.8,0.34,919.908,47.3892,0.0,1393.8,919.908,426.5028,30.6,Glen Burnie,Maryland,United States,Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,46,No,Road-650,Road Bikes,Bikes,Black,62,20.0,L ,U ,Sport Helmet Discount-2003,Reseller,Seasonal Discount,Nuke,Incumbents,Growing
146332,2008-12-03,286,1,1600.0,0.17,1328.0,81.6,0.0,1600.0,1328.0,190.4,11.9,Springfield,Missouri,United States,Single,Male,60000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,29,No,Mountain-300,Mountain Bikes,Bikes,Black,40,25.77,M ,U ,Mountain-500 Silver Clearance Sale,Reseller,Discontinued Product,Acme,New Comers,Stable
11863,2009-09-12,284,3,2346.34,0.28,1689.3648,131.39504,0.0,7039.02,5068.0944,1839.53056,26.1,Buffalo Grove,Illinois,United States,Single,Male,100000,1,Partial College,Professional,No,3,1-2 Miles,44,No,Touring-3000,Touring Bikes,Bikes,Yellow,54,29.42,L ,U ,Touring-1000 Promotion,Reseller,New Product,Nuke,Incumbents,Growing
8441,2010-06-14,289,1,1429.1601,0.29,1014.703671,82.8912858,0.0,1429.1601,1014.703671,331.5651432,23.2,San Jose,California,United States,Married,Female,90000,5,Partial College,Professional,Yes,3,2-5 Miles,40,No,Road-650,Road Bikes,Bikes,Black,60,19.9,L ,U ,Mountain Tire Sale,Customer,Excess Inventory,Esics,Incumbents,Stable
275705,2010-06-22,282,1,20.808,0.5,10.404,3.1212,0.0,20.808,10.404,7.2828,35.0,Middlebury,Vermont,United States,Married,Male,130000,3,High School,Professional,Yes,4,5-10 Miles,51,Yes,Bike Wash,Cleaners,Accessories,Unknown,0,0.0,N,U,Volume Discount 15 to 24,Reseller,Volume Discount,Over Armour,New Comers,Shrinking
183921,2010-02-25,292,1,1680.96,0.35,1092.624,58.8336,0.0,1680.96,1092.624,529.5024,31.5,Haleyville,Alabama,United States,Single,Male,80000,0,Bachelors,Management,No,1,0-1 Miles,38,Yes,Mountain-200,Mountain Bikes,Bikes,Silver,38,23.35,H ,U ,Mountain Tire Sale,Customer,Excess Inventory,Slicenger,New Comers,Stable
306140,2008-04-17,281,1,46.0,0.41,27.14,3.772,0.0,46.0,27.14,15.088,32.8,Cincinnati,Ohio,United States,Married,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,69,No,Fender Set - Mountain,Fenders,Accessories,Unknown,0,0.0,N,U,Touring-3000 Promotion,Reseller,New Product,Acme,New Comers,Stable
14682,2010-09-18,292,1,245.5344,0.124,215.0881344,3.04462656,0.0,245.5344,215.0881344,27.40163904,11.2,Leesburg,Georgia,United States,Single,Female,60000,1,Graduate Degree,Professional,Yes,0,2-5 Miles,36,Yes,HL Mountain Frame,Mountain Frames,Components,Silver,38,2.68,H ,U ,Mountain-500 Silver Clearance Sale,Reseller,Discontinued Product,Slicenger,New Comers,Stable
258894,2008-09-23,288,1,1330.0,0.31,917.7,123.69,0.0,1330.0,917.7,288.61,21.7,Silver Spring,Maryland,United States,Married,Male,80000,5,Bachelors,Management,Yes,2,2-5 Miles,62,No,Road-750,Road Bikes,Bikes,Black,44,19.77,L ,U ,Mountain Tire Sale,Customer,Excess Inventory,Nuke,Incumbents,Growing
304296,2008-04-08,282,1,28.0,0.38,17.36,2.128,0.0,28.0,17.36,8.512,30.4,Arroyo Grande,California,United States,Married,Male,80000,5,Partial College,Professional,Yes,2,0-1 Miles,44,No,Sport-100,Helmets,Accessories,Blue,0,0.0,N,U,Volume Discount 25 to 40,Reseller,Volume Discount,Poomah,New Comers,Growing
15221,2010-03-05,284,1,121.8696,0.2,97.49568,34.874784,2.0,121.8696,97.49568,-10.500864,-8.6,Indianapolis,Indiana,United States,Single,Female,40000,2,High School,Professional,Yes,2,10+ Miles,57,No,ML Mountain Front Wheel,Wheels,Components,Black,0,0.0,M ,U,Road-650 Overstock,Reseller,Excess Inventory,Acme,New Comers,Stable
58797,2008-03-31,287,1,1800.0,0.17,1494.0,136.2,1.0,1800.0,1494.0,169.8,9.4,Swanton,Vermont,United States,Married,Female,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,51,Yes,Mountain-100,Mountain Bikes,Bikes,Silver,42,20.77,H ,U ,Volume Discount 25 to 40,Reseller,Volume Discount,Adihash,Incumbents,Stable
155354,2009-07-18,293,1,323.2,0.18,265.024,5.8176,0.0,323.2,265.024,52.3584,16.2,Los Angeles,California,United States,Single,Female,70000,5,Bachelors,Professional,Yes,3,10+ Miles,39,No,LL Touring Frame,Touring Frames,Components,Blue,58,3.16,L ,U ,Volume Discount 11 to 14,Reseller,Volume Discount,Slicenger,New Comers,Stable
222173,2010-08-21,294,1,1786.02,-0.02,1821.7404,139.28388,2.0,1786.02,1821.7404,-175.00428,-9.8,Salt Lake City,Utah,United States,Married,Male,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,55,No,Mountain-300,Mountain Bikes,Bikes,Black,48,26.42,M ,U ,No Discount,No Discount,No Discount,Acme,New Comers,Stable
103095,2009-04-21,293,1,1472.58,0.16,1236.9672,47.12256,0.0,1472.58,1236.9672,188.49024,12.8,Roseland,New Jersey,United States,Single,Male,30000,0,Partial High School,Clerical,Yes,2,5-10 Miles,28,No,Road-550-W,Road Bikes,Bikes,Yellow,40,17.77,M ,W ,Touring-1000 Promotion,Reseller,New Product,Nuke,Incumbents,Growing
9146,2010-01-09,282,1,20.1571,0.43,11.489547,2.6002659,0.0,20.1571,11.489547,6.0672871,30.1,Ridgecrest,California,United States,Married,Female,100000,3,Partial College,Professional,Yes,4,1-2 Miles,45,No,Sport-100,Helmets,Accessories,Red,0,0.0,N,U,Volume Discount 41 to 60,Reseller,Volume Discount,Ribuck,New Comers,Stable
43844,2010-03-12,290,1,56.7324,0.18,46.520568,1.0211832,0.0,56.7324,46.520568,9.1906488,16.2,Cleveland,Ohio,United States,Single,Male,20000,0,Partial College,Manual,No,1,2-5 Miles,36,Yes,Rear Derailleur,Derailleurs,Components,Silver,0,215.0,N,U,Half-Price Pedal Sale,Customer,Seasonal Discount,Ribuck,New Comers,Stable
149068,2010-06-18,286,1,1805.9406,0.15,1535.04951,156.267327,1.0,1805.9406,1535.04951,114.623763,6.3,Tuckahoe,New York,United States,Single,Female,90000,0,Bachelors,Professional,No,4,10+ Miles,36,No,Road-550-W,Road Bikes,Bikes,Yellow,40,17.77,M ,W ,Volume Discount over 60,Reseller,Volume Discount,Acme,New Comers,Stable
295738,2010-10-22,282,1,81.6893,0.48,42.478436,7.8421728,0.0,81.6893,42.478436,31.3686912,38.4,Waco,Texas,United States,Married,Male,130000,3,Partial College,Professional,No,3,5-10 Miles,51,Yes,ML Road Seat/Saddle,Saddles,Components,Unknown,0,0.0,M ,U,Volume Discount 41 to 60,Reseller,Volume Discount,Princess,New Comers,Growing
5208,2009-06-13,295,1,249.6,0.32,169.728,7.9872,0.0,249.6,169.728,71.8848,28.8,Santa Ana,California,United States,Married,Female,70000,4,Partial College,Professional,No,1,1-2 Miles,56,No,LL Road Seat/Saddle,Saddles,Components,Unknown,0,0.0,L ,U,Volume Discount 11 to 14,Reseller,Volume Discount,Poomah,New Comers,Growing
215729,2010-06-29,291,1,64.4986,0.24,49.018936,3.0959328,0.0,64.4986,49.018936,12.3837312,19.2,Houston,Texas,United States,Married,Male,70000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,44,No,Short-Sleeve Classic Jersey,Jerseys,Clothing,Yellow,L,0.0,N,U ,Mountain Tire Sale,Customer,Excess Inventory,Old Balance,Incumbents,Shrinking
273544,2008-01-21,296,1,107.0,0.32,72.76,10.272,0.0,107.0,72.76,23.968,22.4,Salt Lake City,Utah,United States,Married,Male,60000,2,High School,Professional,No,2,1-2 Miles,48,Yes,Women's Tights,Tights,Clothing,Black,M,0.0,N,W ,Volume Discount 11 to 14,Reseller,Volume Discount,Ribuck,New Comers,Stable
110775,2008-06-02,281,1,1600.0,0.29,1136.0,139.2,0.0,1600.0,1136.0,324.8,20.3,Charleston,West Virginia,United States,Single,Male,10000,0,Graduate Degree,Manual,No,0,0-1 Miles,30,Yes,Mountain-100,Mountain Bikes,Bikes,Black,44,21.13,H ,U ,Mountain-100 Clearance Sale,Reseller,Discontinued Product,Nuke,Incumbents,Growing
400136,2009-02-19,283,1,93.93,0.64,33.8148,6.01152,0.0,93.93,33.8148,54.10368,57.6,Port Macquarie,New South Wales,Australia,Married,Male,60000,4,Bachelors,Skilled Manual,Yes,3,5-10 Miles,42,No,Men's Sports Shorts,Shorts,Clothing,Black,L,0.0,N,M ,Touring-1000 Promotion,Reseller,New Product,Nuke,Incumbents,Growing
245954,2010-10-09,287,1,28.6416,0.41,16.898544,1.1743056,0.0,28.6416,16.898544,10.5687504,36.9,Grass Valley,California,United States,Married,Male,80000,5,Partial College,Professional,Yes,3,1-2 Miles,46,No,LL Mountain Tire,Tires and Tubes,Accessories,Unknown,0,0.0,L ,U,LL Road Frame Sale,Reseller,Excess Inventory,Ribuck,New Comers,Stable
330426,2010-06-19,290,1,77.4457,0.59,31.752737,9.1385926,0.0,77.4457,31.752737,36.5543704,47.2,Peoria,Illinois,United States,Married,Female,80000,0,Bachelors,Professional,Yes,1,1-2 Miles,41,Yes,Classic Vest,Vests,Clothing,Blue,S,0.0,N,U ,Road-650 Overstock,Reseller,Excess Inventory,Slicenger,New Comers,Stable
139736,2009-08-15,289,1,1616.0,0.18,1325.12,29.088,0.0,1616.0,1325.12,261.792,16.2,Everett,Washington,United States,Single,Female,40000,0,High School,Skilled Manual,Yes,1,5-10 Miles,31,No,Road-550-W,Road Bikes,Bikes,Yellow,42,18.13,M ,W ,LL Road Frame Sale,Reseller,Excess Inventory,Over Armour,New Comers,Shrinking
329731,2010-03-25,281,1,326.6744,0.35,212.33836,11.433604,0.0,326.6744,212.33836,102.902436,31.5,Metairie,Louisiana,United States,Single,Female,80000,2,Partial High School,Skilled Manual,No,2,1-2 Miles,50,No,HL Crankset,Cranksets,Components,Black,0,575.0,H ,U,Sport Helmet Discount-2002,Reseller,Seasonal Discount,Ribuck,New Comers,Stable
222661,2009-09-11,293,1,29.29,0.33,19.6243,2.89971,0.0,29.29,19.6243,6.76599,23.1,San Jose,California,United States,Single,Male,30000,1,Bachelors,Clerical,No,1,1-2 Miles,39,No,Road Bottle Cage,Bottles and Cages,Accessories,Unknown,0,0.0,N,U,Half-Price Pedal Sale,Customer,Seasonal Discount,Poomah,New Comers,Growing
69708,2010-09-20,286,1,196.4248,0.22,153.211344,4.3213456,0.0,196.4248,153.211344,38.8921104,19.8,Pluckemin,New Jersey,United States,Single,Male,110000,3,Bachelors,Management,Yes,4,2-5 Miles,40,Yes,ML Touring Seat/Saddle,Saddles,Components,Unknown,0,0.0,M ,U,Volume Discount 41 to 60,Reseller,Volume Discount,Over Armour,New Comers,Shrinking
400820,2008-02-12,287,1,97.0,0.42,56.26,8.148,0.0,97.0,56.26,32.592,33.6,Hobart,Tasmania,Australia,Single,Female,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,53,Yes,Women's Tights,Tights,Clothing,Black,S,0.0,N,W ,Volume Discount 15 to 24,Reseller,Volume Discount,Over Armour,New Comers,Shrinking
269807,2009-02-27,282,1,109.14,0.18,89.4948,3.92904,0.0,109.14,89.4948,15.71616,14.4,Springville,Utah,United States,Single,Male,50000,0,Partial College,Skilled Manual,No,1,2-5 Miles,39,Yes,Women's Tights,Tights,Clothing,Black,M,0.0,N,W ,No Discount,No Discount,No Discount,Woolson,New Comers,Stable
216145,2008-05-01,294,1,55.0,0.21,43.45,2.31,0.0,55.0,43.45,9.24,16.8,Las Vegas,Nevada,United States,Married,Female,60000,4,Bachelors,Skilled Manual,Yes,2,0-1 Miles,42,No,Long-Sleeve Logo Jersey,Jerseys,Clothing,Multi,S,0.0,N,U ,Sport Helmet Discount-2002,Reseller,Seasonal Discount,Over Armour,New Comers,Shrinking
